category,repo_or_local_path,modified,size_bytes,role,source_of_truth,note
Downloaded reference,local-downloads://2023_NUT 10V Calculations Videos_student version.docx,2025-10-22 06:03,45659,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://aPaper- Data Sparsity - Sparse Data Problem in ML.pdf,2026-06-18 03:01,871050,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://Article_+Understanding+the+Role+of+Nature+and+Nurture+in+Shaping+Personality+(6).pdf,2024-08-23 15:27,83379,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://DE Modeling 1 Practice.pdf,2026-02-02 05:18,102504,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://DE Modeling 1 Solutions.pdf,2026-02-03 02:26,7362720,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://DE Modeling 2 Solutions.pdf,2026-02-03 02:26,5868918,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://F'25 NUT 10V_ASA24 Usernames_And_Passwords_student version.pdf,2025-10-14 00:23,288002,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://final paper-interest .docx,2026-06-01 13:48,14560,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://final paper.docx,2026-06-01 13:36,14523,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://Final static version.docx,2026-04-18 12:03,12935,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://General Interest research paper(rough draft).pdf,2026-05-27 12:26,68862,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://market_data_api_guide (1).pdf,2026-07-02 02:26,156381,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://market_data_api_guide.pdf,2026-07-02 02:26,156381,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://Policies On Chemical Fiber Industry Version 2.docx,2025-07-22 15:57,10688,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://RiskDesk_AI_Model_Upgrade_2Map.docx,2026-06-30 02:47,65737,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://RiskDesk_Global500_Impact_V35_V4.docx,2026-07-15 04:29,67810,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://RiskDesk_Stage1_Baseline_Working_Paper_with_Backtest_Figures.docx,2026-06-26 04:52,392502,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://RiskDesk_V4_vs_V35_Strategy_Factor_Comparison_for_Paper.docx,2026-07-15 04:28,68228,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://rough draftpaper 1 arvin.docx,2026-04-11 09:05,11577,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://Strategy version1.docx,2026-06-25 02:33,69799,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://strategy2.docx,2026-06-25 05:31,55223,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://upgrade 3.5 vs 3 strategy changes.docx,2026-07-01 00:41,75175,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://version.docx,2025-07-25 22:22,10492,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://week 1paper.docx,2025-06-29 23:34,15857,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://week 4 paper.docx,2025-07-20 17:33,9756,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
Downloaded reference,local-downloads://week3 paper.docx,2025-07-12 21:39,9758,"Reference document, API guide, or prior comparison",Local Downloads folder,Keep as reference; do not assume it is the live source
GitHub repository,.gitignore,2026-06-23 06:19,57,Repository configuration or supporting asset,GitHub source of truth,repo path: .gitignore
GitHub repository,assets/strategy-comparison.svg,2026-06-25 00:54,10338,Repository configuration or supporting asset,GitHub source of truth,repo path: assets/strategy-comparison.svg
GitHub repository,data/all-strategy-backtests.json,2026-07-03 01:04,9724620,Dataset or backtest output,GitHub source of truth,repo path: data/all-strategy-backtests.json
GitHub repository,data/global-500-universe.json,2026-07-15 03:21,92803,Dataset or backtest output,GitHub source of truth,repo path: data/global-500-universe.json
GitHub repository,data/public-market-snapshot.json,2026-07-23 20:54,211308,Dataset or backtest output,GitHub source of truth,repo path: data/public-market-snapshot.json
GitHub repository,data/v1-backtest.json,2026-06-22 06:38,83263,Dataset or backtest output,GitHub source of truth,repo path: data/v1-backtest.json
GitHub repository,data/v123-training-results.json,2026-07-03 01:04,97815,Dataset or backtest output,GitHub source of truth,repo path: data/v123-training-results.json
GitHub repository,data/v4-historical-backtests.json,2026-07-24 22:21,1752918,Dataset or backtest output,GitHub source of truth,repo path: data/v4-historical-backtests.json
GitHub repository,DEPLOY_VERSION.txt,2026-07-03 02:07,274,Repository configuration or supporting asset,GitHub source of truth,repo path: DEPLOY_VERSION.txt
GitHub repository,index.html,2026-08-17 16:16,2977531,Dashboard frontend,GitHub source of truth,repo path: index.html
GitHub repository,netlify.toml,2026-08-14 11:28,1283,Repository configuration or supporting asset,GitHub source of truth,repo path: netlify.toml
GitHub repository,netlify/functions/_automation-core.js,2026-08-17 09:16,18972,Backend function / API route,GitHub source of truth,repo path: netlify/functions/_automation-core.js
GitHub repository,netlify/functions/_riskdesk-common.js,2026-08-12 09:51,6322,Backend function / API route,GitHub source of truth,repo path: netlify/functions/_riskdesk-common.js
GitHub repository,netlify/functions/_v45-ledger.js,2026-08-17 09:16,4979,Backend function / API route,GitHub source of truth,repo path: netlify/functions/_v45-ledger.js
GitHub repository,netlify/functions/automation-status.js,2026-08-17 15:29,556,Backend function / API route,GitHub source of truth,repo path: netlify/functions/automation-status.js
GitHub repository,netlify/functions/backtest.js,2026-07-14 07:20,1998,Backend function / API route,GitHub source of truth,repo path: netlify/functions/backtest.js
GitHub repository,netlify/functions/eodhd-history.js,2026-07-22 11:56,2687,Backend function / API route,GitHub source of truth,repo path: netlify/functions/eodhd-history.js
GitHub repository,netlify/functions/ledger.js,2026-08-17 16:15,6094,Backend function / API route,GitHub source of truth,repo path: netlify/functions/ledger.js
GitHub repository,netlify/functions/quotes.js,2026-07-07 01:46,1067,Backend function / API route,GitHub source of truth,repo path: netlify/functions/quotes.js
GitHub repository,netlify/functions/research-signals.js,2026-08-17 15:28,7987,Backend function / API route,GitHub source of truth,repo path: netlify/functions/research-signals.js
GitHub repository,netlify/functions/run-weekly-automation.js,2026-08-17 15:28,769,Backend function / API route,GitHub source of truth,repo path: netlify/functions/run-weekly-automation.js
GitHub repository,netlify/functions/stocks.js,2026-07-07 01:46,1273,Backend function / API route,GitHub source of truth,repo path: netlify/functions/stocks.js
GitHub repository,netlify/functions/universe.js,2026-07-07 01:46,679,Backend function / API route,GitHub source of truth,repo path: netlify/functions/universe.js
GitHub repository,netlify/functions/v45-auto-ledger.js,2026-08-17 15:28,497,Backend function / API route,GitHub source of truth,repo path: netlify/functions/v45-auto-ledger.js
GitHub repository,netlify/functions/weekly-signal-automation.js,2026-08-17 15:28,648,Backend function / API route,GitHub source of truth,repo path: netlify/functions/weekly-signal-automation.js
GitHub repository,outputs/data/all-strategy-backtests.json,2026-07-24 22:21,2343528,Dataset or backtest output,GitHub source of truth,repo path: outputs/data/all-strategy-backtests.json
GitHub repository,outputs/data/public-market-snapshot.json,2026-07-23 20:54,211308,Dataset or backtest output,GitHub source of truth,repo path: outputs/data/public-market-snapshot.json
GitHub repository,outputs/index.html,2026-07-08 01:51,9712438,Dashboard frontend,GitHub source of truth,repo path: outputs/index.html
GitHub repository,outputs/realtime-deploy-notes.md,2026-07-07 07:14,1593,Repository configuration or supporting asset,GitHub source of truth,repo path: outputs/realtime-deploy-notes.md
GitHub repository,outputs/riskdesk-quotes-worker.js,2026-07-07 07:14,2941,Repository configuration or supporting asset,GitHub source of truth,repo path: outputs/riskdesk-quotes-worker.js
GitHub repository,outputs/strategy-desk-realtime-package.zip,2026-07-07 07:14,4514643,Repository configuration or supporting asset,GitHub source of truth,repo path: outputs/strategy-desk-realtime-package.zip
GitHub repository,outputs/strategy-desk-realtime.html,2026-07-08 01:51,9712438,Repository configuration or supporting asset,GitHub source of truth,repo path: outputs/strategy-desk-realtime.html
GitHub repository,outputs/update-d-drive-original.ps1,2026-07-07 07:14,849,Repository configuration or supporting asset,GitHub source of truth,repo path: outputs/update-d-drive-original.ps1
GitHub repository,package.json,2026-07-07 07:17,230,Repository configuration or supporting asset,GitHub source of truth,repo path: package.json
GitHub repository,pnpm-lock.yaml,2026-07-11 01:01,1578,Repository configuration or supporting asset,GitHub source of truth,repo path: pnpm-lock.yaml
GitHub repository,README.md,2026-07-03 01:04,1959,Repository configuration or supporting asset,GitHub source of truth,repo path: README.md
GitHub repository,riskdesk-server.js,2026-07-07 07:14,11698,Repository configuration or supporting asset,GitHub source of truth,repo path: riskdesk-server.js
GitHub repository,riskdesk.html,2026-08-04 17:54,2931481,Dashboard frontend,GitHub source of truth,repo path: riskdesk.html
GitHub repository,scripts/build-all-strategy-backtests.mjs,2026-07-15 03:45,39680,Research or build script,GitHub source of truth,repo path: scripts/build-all-strategy-backtests.mjs
GitHub repository,scripts/build-global-500-universe.mjs,2026-07-15 03:20,13866,Research or build script,GitHub source of truth,repo path: scripts/build-global-500-universe.mjs
GitHub repository,scripts/build-public-market-snapshot.mjs,2026-07-15 02:58,7806,Research or build script,GitHub source of truth,repo path: scripts/build-public-market-snapshot.mjs
GitHub repository,scripts/build-v1-backtest.mjs,2026-06-22 06:37,8295,Research or build script,GitHub source of truth,repo path: scripts/build-v1-backtest.mjs
GitHub repository,scripts/build-v123-training-results.mjs,2026-06-30 05:44,15815,Research or build script,GitHub source of truth,repo path: scripts/build-v123-training-results.mjs
GitHub repository,scripts/build-v4-global-backtests.mjs,2026-07-15 04:07,11855,Research or build script,GitHub source of truth,repo path: scripts/build-v4-global-backtests.mjs
GitHub repository,scripts/fetch-eodhd-snapshot.mjs,2026-07-23 21:59,8901,Research or build script,GitHub source of truth,repo path: scripts/fetch-eodhd-snapshot.mjs
GitHub repository,scripts/validate-riskdesk.mjs,2026-06-26 01:42,2246,Research or build script,GitHub source of truth,repo path: scripts/validate-riskdesk.mjs
GitHub repository,start-riskdesk-realtime.ps1,2026-07-07 07:14,374,Repository configuration or supporting asset,GitHub source of truth,repo path: start-riskdesk-realtime.ps1
Historical research workspace,local-research://github-release/assets/strategy-comparison.svg,2026-06-25 00:54,10338,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/data/all-strategy-backtests.json,2026-07-03 01:04,9724620,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/data/v1-backtest.json,2026-06-22 06:38,83263,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/data/v123-training-results.json,2026-07-03 01:04,97815,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/netlify/functions/ledger.js,2026-07-03 00:48,1796,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/README.md,2026-07-03 01:04,1959,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/riskdesk.html,2026-07-03 01:04,9700377,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/scripts/build-all-strategy-backtests.mjs,2026-07-03 01:02,38891,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/scripts/build-v1-backtest.mjs,2026-06-22 06:37,8295,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
Historical research workspace,local-research://github-release/scripts/build-v123-training-results.mjs,2026-06-30 05:44,15815,"Research evidence, paper material, or experiment artifact",Local research workspace,workspace root: github-release
